Year,MAG,MAG5yr,MAG10yr,Count_L,Count_S
1980,0.6604651162790697,0.5465838509316768,0.4965517241379308,0.0,0.0
1981,0.8511627906976743,0.8012422360248446,0.779310344827586,0.2,0.0037327046672841063
1982,0.8511627906976743,0.8012422360248446,0.779310344827586,0.4,0.0027504139653672364
1983,1.0,1.0,1.0,0.8,0.0047570935421402715
1984,1.0,1.0,1.0,0.8,0.005009682579776038
1985,0.8139534883720929,1.0,1.0,0.2,0.0023995958575397827
1986,0.8093023255813954,1.0,1.0,0.2,0.0035222138025876345
1987,0.8093023255813954,1.0,1.0,0.2,0.004981617131149842
1988,0.7116279069767442,1.0,1.0,0.0,0.005051780752715332
1989,0.6790697674418603,1.0,1.0,0.0,0.002090875922651624
1990,0.73953488372093,1.0,1.0,0.2,0.0009121270803513794
1991,0.73953488372093,1.0,1.0,0.2,0.0008700289074120849
1992,0.8604651162790694,1.0,1.0,1.0,0.020473744772810193
1993,0.8604651162790694,0.8136645962732916,1.0,1.0,0.021161348264152002
1994,0.9162790697674416,0.8881987577639748,1.0,0.4,0.017456709045494092
1995,0.9162790697674416,0.8881987577639748,1.0,0.4,0.01723218545648452
1996,0.8511627906976743,0.8881987577639748,1.0,0.2,0.0055569588279868656
1997,0.8511627906976743,0.8881987577639748,1.0,0.2,0.004111588223737757
1998,0.6232558139534882,0.8881987577639748,1.0,0.0,0.011436670315174988
1999,0.8604651162790694,0.8881987577639748,1.0,0.2,0.0733350172602509
2000,0.8604651162790694,0.8881987577639748,0.8758620689655169,0.2,0.10168112037270916
2001,0.45116279069767423,0.8136645962732916,0.8758620689655169,0.0,0.09168982066178327
2002,0.45116279069767423,0.8136645962732916,0.8758620689655169,0.0,0.14696472173107686
2003,0.42790697674418593,0.8136645962732916,0.8758620689655169,0.0,0.12381072661446493
2004,0.4604651162790698,0.8136645962732916,0.8758620689655169,0.0,0.10447363251101568
2005,0.4976744186046512,0.329192546583851,0.8758620689655169,0.0,0.13715584743622128
2006,0.4976744186046512,0.329192546583851,0.7931034482758617,0.0,0.15153938985714688
2007,0.3767441860465118,0.329192546583851,0.7931034482758617,0.0,0.13864331621340967
2008,0.4930232558139536,0.329192546583851,0.7931034482758617,0.0,0.16893996800538857
2009,0.4930232558139536,0.329192546583851,0.7931034482758617,0.0,0.19878757261934832
2010,0.6232558139534882,0.49689440993788797,0.4413793103448273,0.0,0.5410457186158121
2011,0.6232558139534882,0.49689440993788797,0.4413793103448273,0.0,0.53560102158233
2012,0.2511627906976744,0.49689440993788797,0.4413793103448273,0.0,0.20542505121944374
2013,0.2511627906976744,0.49689440993788797,0.4413793103448273,0.0,0.24339760321068732
2014,0.17209302325581396,0.49689440993788797,0.4413793103448273,0.0,0.22707754483455417
2015,0.1488372093023257,0.49689440993788797,0.4413793103448273,0.0,0.19763688922567427
2016,0.055813953488372134,0.0,0.4413793103448273,0.0,0.2041340405826387
2017,0.032558139534883845,0.0,0.4413793103448273,0.0,0.2126378715163762
2018,0.32558139534883723,0.0993788819875777,0.4413793103448273,0.0,0.2751536583312284
2019,0.32558139534883723,0.0993788819875777,0.4413793103448273,0.0,0.8671381662035867
2020,0.13953488372093012,0.0993788819875777,0.4413793103448273,0.0,1.0
2021,0.17209302325581396,0.0993788819875777,0.0,0.0,0.47514804524150317
2022,0.17209302325581396,0.0993788819875777,0.0,0.0,0.3040751031405237
2023,0.0,0.0993788819875777,0.0,0.0,0.21743706323145576
